Item,Supplier/Product Link,Price,Quantity
Adjustable Aerobic Step Up Board (81cm),https://shorturl.at/ciIlK,$29.90 / set,1
Yoga mat,Decathlon,$19.90/ 1 mat,1
Faraday Fabric 2 x 1.1m,https://shorturl.at/5SEfo,$18.52/pcs,1
1/2/3PCS Black Removable Foam Inserts (for separation of the top and bottom layers of conductive fabric),https://shorturl.at/XJUju,$6.18/ pcs,1
Masking tape,Overjoyed,$1.83/pcs,1
Tote bag,https://shorturl.at/fs8nO,$1.60/pcs,2
Copper tape,https://shorturl.at/A4xp9,$20.01/pcs,1
Pet button,https://shorturl.at/9F40l,$6.40/pcs,1
Silicone glue,https://shorturl.at/ZrrVy,$2.90/pcs,1
EPE foam (for covering the PCB board) 10x10cm,https://shorturl.at/Nldem,$1.44/pcs,1
3.5mm mono audio jack,https://rb.gy/08fa5q,$4.91/pcs,1
Battery holder,https://shorturl.at/8UTqS,$1.76/pcs,1
